key,definition
network.service,Network Service
new.callback_id,NEW Callback Id
obj.name,Object Name
obj.type,Object Type
org,Organization
org.dst,Destinaton Organization
org.src,Source Organization
orig_ip,Originating IP Address
OS,Operating System
outcome.all,All Outcome Keys
owner,Owner
packets,Session Packet Count
paddr,Device Address
param,Param
param.all,All Parameter Keys
param.dst,Target Parameter
param.src,Source Parameter
parse.error,Parse Error
password,Password
payload,Payload Size
payload.req,Payload Size Request
payload.res,Payload Size Response
policy.id,Policy ID
policy.name,Policy Name
port,Port Generic
port.all,All Port Keys
port.dst,Non-Protocol Specific Destination Port
port.dst.all,All Destination Port Keys
port.src,Non-Protocol Specific Source Port
port.src.all,All Source Port Keys
port.trans.dst,Port Translated Destination
port.trans.src,Port Translated Source
process,Process
process.id,Process ID
process.vid.dst,Endpoint Target Process ID
process.vid.src,Endpoint Source Process ID
protocol,Protocol
query,Web Query
rbytes,Bytes Received
reference.id,Reference ID
reference.id1,Reference Id1
reference.id2,Reference Id2
referer,Referer
registry.key,Registry Key
registry.value,Registry Value
result,Result
result.code,Result Code
rid,Remote Session ID
risk,Risk
risk.info,Risk: Informational
risk.num,Risk Number
risk.suspicious,Risk: Suspicous
risk.warning,Risk: Warning
rpackets,Session Retransmits
rpayload,Session Retransmit Payload
rule,Rule
rule.name,RuleName
rule.uid,Rule ID
search.text,Search Engine Queries
server,Application
server.id,Server ID
service,Service Type
service.name,Service Name
session.split,Session Split Count
sessionid,Session ID
severity,Severity
sig.id,Signature ID
sig.name,Signature Name
sinterface,Source Interface
site.cat,Site Category
size ,Data Size
sld,Second Level Domain
sourcefile,Source Filename
sql,SQL Query
ssl.ca,SSL CA
ssl.subject,SSL Subject
starttime,Time Start
stransaddr,Source Translated Address
stransport,Translated Source Port
streams,Session Streams
subject,Subject
task.name,Task Name
tcp.dstport,TCP Destination Port
tcp.flags,TCP Flags
tcp.flags.desc,TCP Flags Description
tcp.srcport,TCP Source Port
tcpfalgs,TCP Flags
threat.category,Threat Category
threat.desc,Threat Description
threat.source,Threat Source
timezone,Time Zone
tld,Top Level Domains
tls.extensionlen,TLS Extensions Length
ubc.req,Unique Byte Count Request
ubc.res,Unique Byte Count Response
udp.dstport,UDP Target Port
udp.srcport,UDP Source Port
ueba.schema,UEBA Schema
url,URL
user,User Account
user.agent,User Agent
user.all,All User Keys
user.dst,Destination User Account
user.dst.hash,Destination Username Hash
user.id,User Unique ID/Logon ID
user.src,Source User Account
user.src.hash,Source Username Hash
username,User Account
vendor,Vendor Name
virusname,Virus Name
web.domain,Web Domain
web.method,Web Method
web.referer,Web Referer
web.root,Web Root
wlan.channel,WLAN frequency channel
wlan.ssid,WLAN Service Set Identifier
word,Text Token
zone.dst,Destination Zone
zone.src,Source Zone
